IdentifiaActive (0/Nom                                                   Categories (x,y,zPrix HTID règles de taxPrix d'achaEn soldes (0/Montant de réductiPourcentage de réductiRéduction de (aaaa-mm-Réduction à (aaaa-mm-RéférenceRéférence fournisseFournisseurFabricantEAN13         UPC  Eco taxeLargeur (cmHauteur (cm)Profondeur (cmPoids (kgQuantitéQuantité minimalVisibiliFrais de port supplémentUnitéRatio de prix unitDescription courte (hDescription (html)                                         Tags (x,y,z.Balise de titre       Méta mots-clés        Méta description      URL simplifiée                          Texte "En stocTexte "En commande" (si autorDisponible à la commande (0 = Non, 1 Date de disponibilité du pDate d'ajout d'un proAfficher le prix (0 = Non, URLs des images (x,y,z..Supprimer les images existantes (0 = non,Caractéristique(Nom:Valeur)                                                                                                 Disponible en ligne uniquement (0 = Non, EtatPersonnalisable (0 = Non, 1 =Fichiers téléchargeables (0 = Non, 1Champs text (0 = Non, 1 = Si rupture de stGestion des stocks avancID ou nom de la bouti
  2600611         1Bougie parfumée bonbonnière verte, 50h, Tahiti Waves  145,143,142        15,96               1                       0                                                                                     2600611                                        3023676006111            0                                                    10               1                                                                            <p>Le verre translucide sorti des eaux bleues du Pacifique,bougie parfuBougie parfumée bonbon                      Découvrez la bougie pabougie-parfumee-verte-bonbonniere-tahiti                                                                               1                          2016-04-18                                     1                                                                0Hauteur:100,Diamètre:93,Poids:655,Durée de combustion:50 heures,Collection:Escale Tropicale,Parfum:Tahiti Waves,Thème:Printe                                        0                                0                                   0                         0               0                       0                    1
  2600617         1Coffret bougie parfumée orange, 40h, Tequila Sunrise  145,143,142           20               1                       0                                                                                     2600617                                        3023676006173            0                                                    50               1                                                                            <p>Osez le Coffret cadeau, bougie parfumée Tequila Sunrise,bougie parfuCoffret bougie parfumé                      Offrez-vous un coffretcoffret-bougie-parfumee-orange-tequila-s                                                                               1                          2016-04-18                                     1                                                                0Hauteur:90,Diamètre:75,Poids:390,Durée de combustion:40 heures,Collection:Escale Tropicale,Parfum:Tequila Sunrise,Thème:Prin                                        0                                0                                   0                         0               0                       0                    1
  2600615         1Coffret bougie parfumée rose, 40h, Pink Paradie       145,143,142           20               1                       0                                                                                     2600615                                        3023676006159            0                                                    50               1                                                                            p>Pour un cadeau "girly" à coup sûr, ce Coffret cadeau, boubougie parfuCoffret bougie parfumé                      Offrez-vous un coffretcoffret-bougie-parfumee-rose-pink-paradi                                                                               1                          2016-04-18                                     1                                                                0Hauteur:90,Diamètre:75,Poids:390,Durée de combustion:40 heures,Collection:Escale Tropicale,Parfum:Pink Paradise,Thème:Printe                                        0                                0                                   0                         0               0                       0                    1
  2600616         1Coffret bougie parfumée vert, 40h, Pina Colada        145,143,142           20               1                       0                                                                                     2600616                                        3023676006166            0                                                    50               1                                                                            <p>En ouvrant ce coffret bougie parfumée Pina Colada, décorbougie parfuCoffret bougie parfumé                      Offrez-vous un coffretcoffret-bougie-parfumee-vert-pina-colada                                                                               1                          2016-04-18                                     1                                                                0Hauteur:90,Diamètre:75,Poids:390,Durée de combustion:40 heures,Collection:Escale Tropicale,Parfum:Pina Colada,Thème:Printemp                                        0                                0                                   0                         0               0                       0                    1
  2600618         1Coffret bougie parfumée turquoise, 40h, Blue Lagoon   145,143,142           20               1                       0                                                                                     2600618                                        3023676006180            0                                                    50               1                                                                            <p>Ouvrez vite le coffret bougie parfumée Blue Lagoon revêtbougie parfuCoffret bougie parfumé                      Offrez-vous un coffretcoffret-bougie-parfumee-turquoise-blue-l                                                                               1                          2016-04-18                                     1                                                                0Hauteur:90,Diamètre:75,Poids:390,Durée de combustion:40 heures,Collection:Escale Tropicale,Parfum:Blue Lagoon,Thème:Printemp                                        0                                0                                   0                         0               0                       0                    1
  2600623         1Bougie Ananas bicolore, 80h, rose/vert                144,143,142         25,6               1                       0                                                                                     2600623                                        3023676006234            0                                                     1               1                                                                            <p>Fruit exotique par excellence, ses vertus sont nombreusebougie décorBougie ananas bicolore                      En forme d'ananas, cetbougie-decorative-ananas-rose-vert-80h                                                                                 1                          2016-04-18                                     1                                                                0Hauteur:230,Diamètre:120,Poids:1235,Durée de combustion:80 heures,Collection:Escale Tropicale,Thème:Printemps/Eté 2016                                              0                                0                                   0                         0               0                       0                    1
  2600624         1Bougie Ananas bicolore, 80h, orange/vert              144,143,142         25,6               1                       0                                                                                     2600624                                        3023676006241            0                                                     1               1                                                                            <p>L'ananas, c'est l'équilibre entre un feuillage dense et bougie décorBougie ananas bicolore                      Offrez-vous une bougiebougie-decorative-ananas-orange-vert-80h                                                                               1                          2016-04-18                                     1                                                                0Hauteur:230,Diamètre:120,Poids:1235,Durée de combustion:80 heures,Collection:Escale Tropicale,Thème:Printemps/Eté 2016                                              0                                0                                   0                         0               0                       0                    1
  2600625         1Bougie Ananas bicolore, 80h, turquoise/vert           144,143,142         25,6               1                       0                                                                                     2600625                                        3023676006258            0                                                    10               1                                                                            <p>Avec sa forme à l'ovale généreux, habillé d'écailles auxbougie décorBougie ananas bicolore                      Offrez-vous une bougiebougie-decorative-ananas-turquoise-vert-                                                                               1                          2016-04-18                                     1                                                                0Hauteur:230,Diamètre:120,Poids:1235,Durée de combustion:80 heures,Collection:Escale Tropicale,Thème:Printemps/Eté 2016                                              0                                0                                   0                         0               0                       0                    1
  2600620         1Bougie Ananas bicolore, 60h, rose/vert                144,143,142        15,92               1                       0                                                                                     2600620                                        3023676006203            0                                                     1               1                                                                            <p>Ananas signifie "parfum des parfums". Alors quoi de mieubougie décorBougie ananas bicolore                      Offrez-vous une bougiebougie-decorative-ananas-rose-vert-60h                                                                                 1                          2016-04-18                                     1                                                                0Hauteur:160,Diamètre:92,Poids:540,Durée de combustion:60 heures,Collection:Escale Tropicale,Thème:Printemps/Eté 2016                                                0                                0                                   0                         0               0                       0                    1
  2600621         1Bougie Ananas bicolore, 60h, orange/vert              144,143,142        15,92               1                       0                                                                                     2600621                                        3023676006210            0                                                     1               1                                                                            <p>Cette bougie ananas bicolore orange/vert, joliment dessibougie décorBougie ananas bicolore                      Découvrez la bougie débougie-decorative-ananas-orange-vert-60h                                                                               1                          2016-04-18                                     1                                                                0Hauteur:160,Diamètre:92,Poids:540,Durée de combustion:60 heures,Collection:Escale Tropicale,Thème:Printemps/Eté 2016                                                0                                0                                   0                         0               0                       0                    1
  2600622         1Bougie Ananas bicolore, 60h, turquoise/vert           144,143,142        15,92               1                       0                                                                                     2600622                                        3023676006227            0                                                     1               1                                                                            <p>Suivant la jolie courbe d'un flacon de parfum rétro, la bougie décorBougie ananas bicolore                      Offrez-vous une bougiebougie-decorative-ananas-turquoise-vert-                                                                               1                          2016-04-18                                     1                                                                0Hauteur:160,Diamètre:92,Poids:540,Durée de combustion:60 heures,Collection:Escale Tropicale,Thème:Printemps/Eté 2016                                                0                                0                                   0                         0               0                       0                    1
  2600660         1Bougie décorative Perroquet, 25h, rose                144,143,142            8               1                       0                                                                                     2600660                                        3023676006609            0                                                    10               1                                                                            <p>A la belle saison, les esprits s'ouvrent à l'exotisme etbougie décorBougie décorative perr                      Découvrez la bougie débougie-decorative-perroquet-rose-25h                                                                                   1                          2016-04-18                                     1                                                                0Hauteur:83,Diamètre:85,Poids:205,Durée de combustion:25 heures,Collection:Escale Tropicale,Thème:Printemps/Eté 2016                                                 0                                0                                   0                         0               0                       0                    1
  2600662         1Bougie décorative Perroquet, 25h, orange              144,143,142            8               1                       0                                                                                     2600662                                        3023676006623            0                                                    10               1                                                                            <p>Laisser l'exotisme envahir vos esprits de rêves tropicaubougie décorBougie décorative perr                      En forme de perroquet,bougie-decorative-perroquet-orange-25h                                                                                 1                          2016-04-18                                     1                                                                0Hauteur:83,Diamètre:85,Poids:205,Durée de combustion:25 heures,Collection:Escale Tropicale,Thème:Printemps/Eté 2016                                                 0                                0                                   0                         0               0                       0                    1
  2600663         1Bougie décorative Perroquet, 25h, turquoise           144,143,142            8               1                       0                                                                                     2600663                                        3023676006630            0                                                     1               1                                                                            <p>Grands aras solitaires ou inséparables, il est de bon tobougie décorBougie décorative perr                      Offrez-vous une bougiebougie-decorative-perroquet-turquoise-25                                                                               1                          2016-04-18                                     1                                                                0Hauteur:83,Diamètre:85,Poids:205,Durée de combustion:25 heures,Collection:Escale Tropicale,Thème:Printemps/Eté 2016                                                 0                                0                                   0                         0               0                       0                    1
  2600636         1Bougie décorative, silhouette ananas, 45h             144,143,142           20               1                       0                                                                                     2600636                                        3023676006364            0                                                    10               1                                                                            <p>Pour une belle "Summer Party", arborez, telle une enseigbougie décorBougie décorative silh                      En forme d'ananas, cetbougie-decorative-silhouette-ananas-45h                                                                                1                          2016-04-18                                     1                                                                0Hauteur:200,Diamètre:45,Poids:650,Durée de combustion:45 heures,Collection:Escale Tropicale,Thème:Printemps/Eté 2016                                                0                                0                                   0                         0               0                       0                    1
  2600631         1Bougie décorative, fleur hibiscus, 10h, rose          144,143,142         7,92               1                       0                                                                                     2600631                                        3023676006319            0                                                     1               1                                                                            <p>Imaginez un bain d'eau de rose sur lequel flotteraient dbougie décorBougie décorative fleu                      En forme de fleur tropbougie-decorative-fleur-hibiscus-10h-ros                                                                               1                          2016-04-18                                     1                                                                0Hauteur:50,Diamètre:100,Poids:100,Durée de combustion:10 heures,Collection:Escale Tropicale,Thème:Printemps/Eté 2016                                                0                                0                                   0                         0               0                       0                    1
  2600633         1Bougie décorative, fleur hibiscus, 10h, orange        144,143,142         7,92               1                       0                                                                                     2600633                                        3023676006333            0                                                     1               1                                                                            <p>Parce qu'elle est de la couleur du soleil au couchant, dbougie décorBougie décorative fleu                      En forme de fleur tropbougie-decorative-fleur-hibiscus-10h-ora                                                                               1                          2016-04-18                                     1                                                                0Hauteur:50,Diamètre:100,Poids:100,Durée de combustion:10 heures,Collection:Escale Tropicale,Thème:Printemps/Eté 2016                                                0                                0                                   0                         0               0                       0                    1
  2600634         1Bougie décorative, fleur hibiscus, 10h, turquoise     144,143,142         7,92               1                       0                                                                                     2600634                                        3023676006340            0                                                     1               1                                                                            <p>Sous sa robe de glaçon bonbon clair, la Bougie fleur hibbougie décorBougie décorative fleu                      Offrez-vous une bougiebougie-decorative-fleur-hibiscus-10h-tur                                                                               1                          2016-04-11                                     1                                                                0Hauteur:50,Diamètre:100,Poids:100,Durée de combustion:10 heures,Collection:Escale Tropicale,Thème:Printemps/Eté 2016                                                0                                0                                   0                         0               0                       0                    1
  2600632         1Bougie décorative, fleur hibiscus, 10h, vert          144,143,142         7,92               1                       0                                                                                     2600632                                        3023676006319            0                                                     1               1                                                                            <p>Allumez quelques exemplaires de la Bougie fleur hibiscusbougie décorBougie décorative fleu                      Offrez-vous une bougiebougie-decorative-fleur-hibiscus-10h-ver                                                                               1                          2016-04-11                                     1                                                                0Hauteur:50,Diamètre:100,Poids:100,Durée de combustion:10 heures,Collection:Escale Tropicale,Thème:Printemps/Eté 2016                                                0                                0                                   0                         0               0                       0                    1
  2600630         1Bougie cylindrique, motif fleurs, 70h, turquoise      144,143,142        15,92               1                       0                                                                                     2600630                                        3023676006289            0                                                     1               1                                                                            <p>Sur sa silhouette authentique de cierge blanc cylindriqubougie décorBougie cylindrique mot                      Offrez-vous une bougiebougie-decorative-cylindrique-fleurs-tur                                                                               1                          2016-04-11                                     1                                                                0Hauteur:130,Diamètre:80,Poids:530,Durée de combustion:70 heures,Collection:Escale Tropicale,Thème:Printemps/Eté 2016                                                0                                0                                   0                         0               0                       0                    1
  2600628         1Bougie cylindrique, motif fleurs, 70h, vert           144,143,142        15,92               1                       0                                                                                     2600628                                        3023676006289            0                                                     1               1                                                                            <p>Alliant l'exotisme aux valeurs sûres, la Bougie cylindribougie décorBougie cylindrique mot                      Offrez-vous une bougieBougie-decorative-cylindrique-fleurs-ver                                                                               1                          2016-04-11                                     1                                                                0Hauteur:130,Diamètre:80,Poids:530,Durée de combustion:70 heures,Collection:Escale Tropicale,Thème:Printemps/Eté 2016                                                0                                0                                   0                         0               0                       0                    1
